seed,family,number_of_items,capacity,weights,values,greedy_value,optimal_value,failure,relative_gap
10,independent,20,280,"(37, 28, 37, 14, 32, 42, 3, 32, 5, 48, 3, 9, 23, 27, 44, 30, 44, 43, 9, 50)","(5, 62, 2, 60, 36, 21, 67, 42, 32, 47, 54, 78, 49, 37, 34, 23, 39, 47, 59, 31)",670,670,False,0.0
11,independent,20,227,"(29, 50, 29, 38, 12, 31, 40, 7, 20, 6, 45, 3, 26, 42, 40, 11, 1, 5, 3, 16)","(72, 60, 66, 25, 66, 81, 24, 58, 19, 69, 82, 77, 58, 95, 84, 80, 68, 8, 25, 77)",900,910,True,0.01098901098901099
12,independent,20,248,"(31, 43, 43, 10, 1, 31, 42, 45, 15, 1, 40, 29, 11, 14, 37, 5, 44, 44, 6, 4)","(35, 68, 45, 49, 48, 36, 59, 77, 72, 85, 19, 48, 44, 8, 26, 66, 44, 52, 3, 85)",740,740,False,0.0
13,independent,20,219,"(17, 44, 12, 15, 10, 42, 12, 5, 14, 19, 28, 44, 1, 10, 17, 48, 9, 23, 32, 36)","(38, 88, 84, 86, 29, 94, 17, 69, 96, 4, 17, 78, 36, 11, 58, 56, 33, 30, 97, 73)",793,808,True,0.018564356435643563
14,independent,20,260,"(7, 45, 42, 16, 48, 19, 5, 29, 30, 26, 50, 17, 21, 17, 41, 34, 11, 43, 18, 1)","(79, 97, 68, 35, 33, 94, 85, 39, 88, 51, 16, 29, 46, 47, 81, 20, 71, 85, 22, 84)",892,892,False,0.0
15,independent,20,205,"(14, 34, 3, 16, 4, 10, 24, 8, 30, 23, 26, 23, 14, 21, 20, 33, 15, 30, 32, 30)","(2, 95, 21, 3, 88, 89, 31, 44, 91, 36, 34, 30, 46, 29, 94, 54, 74, 54, 11, 73)",769,769,False,0.0
16,independent,20,272,"(24, 31, 27, 29, 27, 46, 16, 15, 19, 22, 10, 39, 2, 39, 2, 39, 41, 30, 39, 46)","(61, 37, 30, 1, 85, 34, 82, 2, 39, 86, 96, 40, 29, 33, 20, 86, 4, 59, 81, 38)",761,764,True,0.003926701570680628
17,independent,20,278,"(34, 20, 19, 50, 46, 43, 8, 16, 48, 17, 21, 44, 26, 36, 9, 10, 35, 44, 22, 8)","(54, 47, 23, 91, 70, 36, 4, 50, 54, 65, 82, 93, 18, 8, 26, 91, 72, 27, 70, 92)",802,807,True,0.006195786864931847
18,independent,20,250,"(12, 43, 22, 13, 41, 12, 19, 17, 17, 8, 34, 49, 16, 16, 48, 37, 13, 49, 14, 20)","(16, 58, 31, 63, 64, 62, 59, 26, 89, 42, 87, 23, 22, 26, 47, 65, 87, 64, 92, 34)",770,775,True,0.0064516129032258064
19,independent,20,266,"(44, 34, 33, 26, 34, 38, 39, 7, 27, 18, 50, 20, 37, 13, 13, 35, 25, 5, 27, 7)","(6, 16, 26, 45, 38, 19, 34, 34, 42, 14, 42, 3, 80, 10, 15, 59, 94, 13, 3, 75)",529,537,True,0.0148975791433892
20,independent,20,242,"(47, 50, 17, 41, 21, 11, 27, 5, 9, 31, 29, 14, 21, 44, 22, 6, 34, 26, 14, 16)","(88, 20, 87, 13, 74, 4, 53, 14, 41, 75, 53, 26, 81, 43, 55, 81, 63, 11, 74, 5)",749,759,True,0.013175230566534914
21,independent,20,286,"(11, 45, 41, 31, 31, 12, 34, 1, 24, 28, 10, 15, 45, 28, 50, 40, 3, 35, 45, 42)","(54, 54, 37, 28, 66, 65, 31, 2, 75, 9, 97, 30, 6, 95, 53, 57, 43, 64, 15, 48)",730,730,False,0.0
22,independent,20,274,"(9, 2, 29, 45, 48, 23, 15, 4, 39, 36, 47, 46, 37, 38, 20, 13, 8, 34, 50, 4)","(32, 79, 24, 16, 84, 11, 35, 41, 23, 88, 56, 7, 3, 34, 54, 24, 75, 94, 73, 90)",793,793,False,0.0
23,independent,20,239,"(50, 6, 38, 28, 34, 9, 13, 29, 15, 30, 7, 46, 27, 33, 47, 23, 4, 3, 24, 12)","(38, 3, 40, 49, 46, 93, 35, 2, 80, 4, 11, 64, 3, 81, 56, 99, 27, 76, 85, 80)",783,791,True,0.010113780025284451
24,independent,20,292,"(46, 38, 14, 13, 43, 6, 49, 46, 47, 1, 30, 41, 2, 11, 48, 44, 32, 44, 17, 11)","(50, 24, 22, 22, 88, 91, 20, 37, 99, 57, 93, 15, 67, 63, 57, 39, 11, 98, 79, 88)",924,924,False,0.0
25,independent,20,240,"(25, 1, 20, 31, 49, 3, 37, 7, 8, 44, 13, 40, 12, 23, 31, 7, 44, 39, 23, 23)","(99, 28, 82, 6, 33, 40, 55, 76, 74, 94, 66, 41, 71, 66, 68, 82, 13, 75, 54, 25)",925,925,False,0.0
26,independent,20,282,"(48, 43, 28, 35, 9, 49, 3, 44, 33, 41, 16, 27, 13, 2, 15, 9, 39, 49, 24, 38)","(26, 27, 77, 8, 100, 62, 94, 80, 22, 55, 96, 92, 89, 86, 19, 28, 62, 50, 32, 4)",910,921,True,0.011943539630836048
27,independent,20,296,"(42, 45, 19, 5, 17, 22, 24, 12, 16, 5, 41, 42, 40, 50, 48, 43, 23, 42, 17, 40)","(62, 36, 26, 9, 70, 33, 52, 32, 63, 94, 74, 11, 55, 54, 7, 57, 2, 62, 18, 44)",632,634,True,0.0031545741324921135
28,independent,20,206,"(8, 9, 39, 12, 9, 30, 27, 14, 26, 9, 13, 2, 16, 7, 21, 9, 33, 45, 43, 40)","(96, 70, 92, 29, 82, 98, 27, 19, 21, 78, 26, 53, 9, 54, 90, 23, 67, 93, 35, 30)",858,861,True,0.003484320557491289
29,independent,20,262,"(36, 23, 39, 6, 23, 27, 3, 29, 15, 6, 22, 35, 47, 29, 15, 27, 44, 34, 35, 28)","(10, 77, 37, 66, 51, 3, 14, 84, 45, 64, 78, 54, 26, 22, 56, 87, 73, 26, 87, 39)",782,785,True,0.003821656050955414
30,independent,20,286,"(35, 40, 40, 14, 4, 25, 9, 30, 34, 2, 11, 34, 42, 35, 26, 16, 44, 49, 37, 44)","(38, 4, 84, 33, 51, 83, 11, 1, 32, 10, 77, 52, 45, 9, 4, 73, 36, 55, 13, 36)",612,612,False,0.0
31,independent,20,264,"(1, 8, 26, 44, 9, 35, 46, 9, 48, 43, 9, 35, 29, 27, 38, 8, 50, 22, 14, 26)","(61, 98, 19, 6, 15, 30, 97, 19, 5, 8, 30, 94, 68, 27, 12, 3, 52, 26, 43, 47)",650,651,True,0.0015360983102918587
32,independent,20,250,"(5, 10, 45, 32, 47, 7, 33, 4, 45, 24, 1, 49, 34, 32, 50, 19, 29, 22, 3, 8)","(28, 39, 31, 4, 5, 42, 43, 67, 61, 77, 70, 17, 2, 94, 26, 26, 11, 16, 68, 94)",736,740,True,0.005405405405405406
33,independent,20,332,"(37, 41, 18, 42, 34, 42, 33, 44, 31, 19, 41, 20, 20, 32, 48, 48, 28, 21, 49, 16)","(22, 30, 62, 69, 24, 79, 42, 68, 57, 87, 10, 53, 67, 7, 78, 87, 36, 72, 88, 16)",737,746,True,0.012064343163538873
34,independent,20,192,"(34, 38, 15, 25, 5, 20, 7, 33, 7, 23, 1, 10, 34, 4, 17, 36, 4, 11, 41, 19)","(46, 4, 4, 47, 55, 44, 75, 20, 36, 79, 100, 97, 12, 48, 95, 91, 50, 76, 40, 49)",942,942,False,0.0
35,independent,20,331,"(36, 49, 48, 10, 28, 37, 48, 49, 42, 46, 49, 24, 33, 7, 32, 47, 22, 32, 2, 21)","(43, 17, 44, 37, 33, 8, 68, 36, 47, 75, 13, 2, 2, 93, 48, 4, 87, 7, 31, 11)",606,606,False,0.0
36,independent,20,226,"(22, 2, 6, 33, 12, 18, 42, 24, 18, 5, 27, 25, 49, 16, 11, 33, 45, 14, 19, 32)","(8, 37, 1, 81, 32, 94, 56, 72, 70, 74, 63, 45, 51, 51, 16, 64, 98, 68, 24, 91)",778,778,False,0.0
37,independent,20,278,"(44, 6, 43, 41, 3, 24, 34, 44, 39, 25, 28, 10, 6, 5, 19, 42, 28, 37, 41, 37)","(78, 80, 96, 66, 81, 57, 14, 59, 37, 95, 57, 7, 53, 70, 47, 91, 76, 47, 91, 5)",894,894,False,0.0
38,independent,20,270,"(41, 28, 47, 5, 45, 24, 39, 11, 23, 18, 22, 47, 31, 38, 15, 6, 32, 28, 16, 25)","(54, 97, 14, 47, 60, 6, 86, 76, 42, 91, 80, 40, 98, 52, 79, 68, 19, 68, 2, 48)",882,892,True,0.011210762331838564
39,independent,20,274,"(14, 25, 13, 26, 37, 42, 44, 46, 2, 44, 24, 7, 23, 49, 26, 38, 18, 5, 28, 37)","(34, 4, 29, 94, 1, 33, 46, 23, 38, 10, 2, 55, 55, 13, 66, 39, 92, 59, 33, 42)",647,653,True,0.009188361408882083
40,independent,20,262,"(30, 34, 16, 43, 43, 9, 23, 48, 2, 48, 4, 13, 46, 4, 39, 8, 21, 33, 34, 27)","(75, 5, 37, 82, 27, 98, 36, 57, 68, 17, 83, 80, 59, 23, 41, 33, 19, 88, 13, 7)",781,783,True,0.002554278416347382
41,independent,20,256,"(25, 15, 25, 45, 36, 25, 49, 1, 16, 2, 10, 47, 11, 42, 40, 4, 38, 28, 48, 5)","(43, 22, 74, 37, 36, 94, 74, 100, 85, 57, 20, 41, 33, 89, 75, 16, 5, 37, 28, 93)",853,853,False,0.0
42,independent,20,300,"(41, 2, 18, 15, 48, 44, 35, 38, 3, 6, 15, 39, 36, 46, 45, 27, 29, 18, 49, 45)","(15, 95, 32, 18, 14, 95, 12, 55, 4, 28, 65, 4, 26, 84, 70, 29, 76, 1, 21, 55)",659,659,False,0.0
43,independent,20,229,"(3, 45, 10, 24, 45, 30, 32, 2, 28, 24, 36, 28, 12, 7, 25, 7, 33, 9, 25, 33)","(37, 98, 60, 86, 13, 77, 78, 66, 74, 80, 97, 51, 8, 16, 20, 21, 64, 99, 77, 35)",798,831,True,0.039711191335740074
44,independent,20,268,"(27, 35, 8, 25, 19, 15, 37, 7, 50, 45, 45, 25, 26, 45, 21, 5, 19, 11, 33, 38)","(67, 90, 23, 29, 4, 15, 2, 21, 66, 39, 82, 76, 99, 86, 46, 44, 80, 15, 9, 13)",714,714,False,0.0
45,independent,20,223,"(18, 32, 6, 22, 5, 1, 19, 20, 42, 40, 9, 48, 14, 46, 5, 27, 45, 3, 21, 23)","(54, 33, 39, 3, 62, 15, 16, 96, 5, 9, 35, 20, 98, 55, 79, 19, 8, 23, 33, 100)",738,738,False,0.0
46,independent,20,235,"(5, 3, 38, 41, 10, 35, 2, 21, 4, 9, 19, 22, 49, 26, 31, 10, 30, 30, 45, 40)","(52, 76, 30, 67, 75, 5, 9, 81, 4, 71, 68, 92, 12, 91, 47, 61, 10, 96, 70, 15)",890,890,False,0.0
47,independent,20,255,"(23, 28, 30, 22, 33, 26, 3, 43, 7, 17, 47, 1, 37, 15, 34, 23, 16, 36, 46, 23)","(9, 71, 74, 33, 50, 79, 54, 4, 1, 62, 70, 41, 55, 31, 66, 57, 5, 48, 89, 77)",702,703,True,0.001422475106685633
48,independent,20,238,"(36, 9, 46, 20, 13, 49, 11, 43, 32, 15, 49, 36, 10, 14, 5, 5, 32, 11, 4, 36)","(41, 72, 69, 65, 92, 56, 20, 14, 84, 28, 66, 66, 61, 4, 55, 17, 87, 17, 90, 38)",758,806,True,0.05955334987593052
49,independent,20,262,"(5, 27, 21, 36, 4, 3, 48, 10, 47, 41, 33, 39, 37, 26, 16, 9, 28, 25, 50, 18)","(45, 15, 97, 66, 88, 98, 36, 59, 6, 70, 29, 37, 48, 4, 93, 13, 94, 42, 46, 84)",897,897,False,0.0
50,independent,20,248,"(32, 24, 16, 31, 22, 35, 15, 36, 10, 7, 21, 13, 22, 39, 41, 5, 39, 45, 28, 15)","(35, 82, 89, 99, 11, 41, 87, 11, 45, 45, 29, 9, 78, 55, 12, 89, 43, 83, 1, 44)",805,811,True,0.007398273736128237
51,independent,20,266,"(16, 36, 16, 36, 26, 30, 45, 34, 22, 43, 25, 26, 1, 2, 17, 31, 12, 40, 24, 49)","(65, 21, 30, 33, 71, 94, 71, 81, 76, 47, 36, 90, 15, 69, 5, 87, 45, 39, 58, 84)",817,817,False,0.0
52,independent,20,222,"(18, 47, 31, 27, 9, 27, 23, 41, 3, 25, 1, 5, 11, 15, 18, 50, 27, 3, 25, 37)","(7, 66, 48, 5, 21, 24, 57, 1, 70, 57, 31, 21, 62, 81, 63, 64, 16, 80, 12, 51)",681,687,True,0.008733624454148471
53,independent,20,240,"(40, 30, 46, 46, 24, 30, 2, 11, 48, 17, 4, 4, 15, 13, 9, 23, 49, 21, 43, 4)","(28, 65, 62, 67, 94, 94, 5, 45, 17, 96, 22, 47, 57, 30, 18, 65, 83, 66, 52, 43)",747,784,True,0.047193877551020405
54,independent,20,274,"(9, 36, 31, 25, 29, 37, 25, 47, 4, 36, 39, 35, 34, 27, 35, 7, 17, 29, 3, 44)","(57, 39, 63, 29, 43, 94, 27, 26, 64, 58, 12, 44, 38, 35, 19, 83, 36, 76, 49, 2)",702,706,True,0.0056657223796034
55,independent,20,253,"(6, 10, 20, 48, 20, 23, 43, 35, 25, 26, 47, 35, 41, 41, 3, 33, 1, 30, 4, 15)","(26, 95, 11, 24, 12, 93, 61, 50, 65, 41, 55, 99, 6, 33, 30, 91, 74, 29, 49, 12)",774,774,False,0.0
56,independent,20,260,"(36, 31, 34, 50, 27, 15, 24, 5, 42, 37, 2, 37, 4, 36, 25, 2, 25, 12, 40, 36)","(2, 84, 39, 70, 91, 13, 80, 44, 33, 27, 98, 27, 75, 18, 88, 20, 32, 13, 26, 28)",747,747,False,0.0
57,independent,20,290,"(3, 38, 2, 33, 31, 28, 25, 48, 34, 24, 26, 42, 38, 32, 17, 40, 37, 9, 36, 38)","(48, 78, 29, 42, 38, 82, 3, 22, 78, 49, 14, 93, 88, 70, 83, 18, 19, 49, 20, 55)",747,753,True,0.00796812749003984
58,independent,20,237,"(38, 14, 42, 3, 29, 23, 17, 40, 19, 7, 32, 31, 5, 36, 25, 24, 7, 50, 20, 12)","(26, 95, 26, 25, 52, 37, 58, 54, 75, 2, 28, 97, 58, 85, 85, 8, 86, 18, 5, 38)",793,793,False,0.0
59,independent,20,233,"(15, 42, 2, 20, 2, 40, 32, 32, 20, 11, 38, 43, 34, 7, 42, 21, 6, 13, 6, 40)","(11, 59, 18, 92, 88, 2, 49, 69, 98, 94, 44, 23, 15, 48, 6, 40, 6, 96, 73, 12)",841,841,False,0.0
60,independent,20,230,"(20, 37, 17, 31, 22, 6, 12, 25, 16, 1, 47, 9, 40, 44, 33, 36, 4, 37, 20, 2)","(37, 20, 30, 60, 6, 86, 20, 6, 82, 53, 22, 40, 81, 20, 77, 76, 77, 14, 20, 73)",792,792,False,0.0
61,independent,20,234,"(32, 36, 21, 21, 2, 23, 5, 30, 11, 41, 33, 6, 12, 2, 10, 47, 19, 48, 29, 40)","(24, 28, 38, 89, 63, 46, 52, 43, 43, 1, 89, 82, 44, 56, 17, 52, 38, 44, 41, 48)",741,746,True,0.006702412868632708
62,independent,20,252,"(37, 5, 30, 43, 11, 12, 1, 41, 8, 31, 34, 50, 38, 11, 14, 6, 35, 37, 40, 20)","(23, 31, 40, 46, 66, 21, 34, 22, 4, 61, 3, 44, 83, 89, 92, 42, 58, 3, 51, 44)",684,695,True,0.015827338129496403
63,independent,20,230,"(29, 19, 31, 6, 48, 5, 13, 5, 20, 40, 15, 9, 16, 39, 2, 39, 11, 49, 36, 28)","(57, 33, 85, 50, 11, 85, 38, 81, 96, 8, 85, 43, 36, 87, 5, 92, 30, 79, 55, 82)",865,865,False,0.0
64,independent,20,272,"(31, 41, 26, 44, 14, 46, 49, 45, 42, 6, 29, 47, 6, 44, 5, 7, 3, 17, 35, 6)","(16, 79, 69, 3, 35, 81, 26, 100, 19, 54, 26, 4, 52, 1, 23, 76, 76, 29, 26, 4)",704,704,False,0.0
65,independent,20,254,"(27, 19, 15, 30, 29, 22, 28, 5, 30, 13, 31, 45, 17, 11, 48, 44, 9, 23, 37, 24)","(37, 66, 57, 68, 71, 82, 29, 72, 34, 84, 80, 6, 15, 68, 18, 16, 89, 48, 84, 80)",901,901,False,0.0
66,independent,20,218,"(5, 28, 29, 17, 7, 32, 30, 9, 5, 24, 11, 47, 30, 33, 34, 25, 24, 1, 14, 30)","(40, 32, 38, 72, 96, 24, 67, 92, 92, 94, 53, 91, 82, 4, 15, 18, 4, 91, 90, 79)",986,986,False,0.0
67,independent,20,224,"(5, 50, 30, 18, 28, 40, 14, 3, 12, 3, 29, 8, 7, 20, 26, 38, 26, 34, 46, 10)","(15, 53, 54, 77, 63, 36, 83, 86, 37, 21, 24, 88, 63, 32, 96, 2, 84, 94, 21, 48)",909,909,False,0.0
68,independent,20,290,"(48, 45, 33, 39, 16, 31, 47, 22, 36, 11, 42, 50, 3, 47, 7, 4, 39, 13, 13, 34)","(60, 96, 15, 75, 56, 34, 87, 57, 47, 71, 100, 16, 70, 62, 44, 12, 23, 100, 1, 55)",823,823,False,0.0
69,independent,20,262,"(44, 7, 5, 23, 36, 30, 37, 34, 36, 29, 27, 5, 19, 13, 20, 45, 49, 33, 7, 25)","(5, 22, 78, 42, 54, 55, 57, 42, 71, 19, 51, 54, 19, 19, 28, 85, 93, 27, 13, 80)",644,644,False,0.0
70,independent,20,234,"(8, 45, 29, 21, 10, 44, 14, 43, 25, 26, 5, 21, 18, 50, 7, 3, 23, 9, 17, 49)","(38, 59, 18, 14, 87, 77, 92, 53, 31, 84, 65, 99, 49, 58, 12, 63, 37, 4, 58, 99)",827,827,False,0.0
71,independent,20,220,"(21, 40, 17, 49, 17, 13, 4, 13, 2, 34, 30, 9, 42, 3, 39, 25, 38, 10, 28, 7)","(66, 2, 20, 26, 12, 66, 77, 65, 89, 47, 98, 45, 22, 45, 4, 83, 25, 42, 58, 85)",886,886,False,0.0
72,independent,20,236,"(5, 48, 23, 35, 24, 48, 44, 9, 45, 15, 10, 2, 15, 1, 5, 19, 33, 47, 27, 18)","(77, 24, 90, 80, 40, 92, 77, 90, 44, 49, 82, 89, 59, 58, 99, 12, 41, 3, 33, 45)",987,987,False,0.0
73,independent,20,270,"(18, 33, 37, 30, 38, 32, 34, 13, 8, 17, 50, 27, 36, 32, 28, 4, 37, 13, 6, 46)","(16, 62, 24, 39, 10, 52, 65, 58, 3, 53, 4, 46, 55, 71, 24, 34, 77, 92, 60, 45)",686,689,True,0.0043541364296081275
74,independent,20,244,"(40, 8, 8, 12, 23, 29, 34, 29, 21, 33, 1, 33, 9, 29, 39, 16, 17, 28, 36, 43)","(66, 41, 40, 28, 16, 59, 36, 22, 36, 80, 89, 6, 30, 20, 54, 35, 85, 1, 26, 21)",643,643,False,0.0
75,independent,20,299,"(29, 28, 3, 50, 44, 31, 44, 23, 45, 6, 17, 32, 43, 39, 32, 27, 25, 37, 30, 13)","(75, 59, 94, 66, 86, 87, 89, 13, 41, 97, 36, 93, 45, 85, 35, 4, 70, 88, 87, 17)",888,902,True,0.015521064301552107
76,independent,20,242,"(24, 25, 20, 27, 19, 49, 32, 6, 20, 22, 4, 43, 38, 25, 16, 35, 2, 43, 26, 7)","(60, 26, 7, 31, 39, 57, 30, 43, 30, 69, 1, 53, 78, 96, 43, 59, 9, 81, 20, 32)",610,610,False,0.0
77,independent,20,199,"(17, 13, 13, 19, 36, 16, 36, 43, 1, 2, 12, 33, 12, 21, 6, 50, 35, 14, 13, 6)","(42, 31, 15, 61, 79, 19, 81, 65, 36, 64, 25, 50, 43, 16, 71, 34, 61, 29, 10, 26)",607,624,True,0.027243589743589744
78,independent,20,270,"(13, 20, 47, 48, 3, 10, 26, 43, 45, 25, 1, 47, 23, 22, 27, 12, 50, 24, 4, 50)","(13, 86, 33, 55, 84, 84, 99, 25, 61, 70, 31, 23, 55, 81, 90, 23, 97, 47, 27, 13)",887,888,True,0.0011261261261261261
79,independent,20,250,"(10, 23, 11, 16, 45, 10, 23, 13, 47, 46, 12, 31, 24, 6, 7, 50, 3, 45, 47, 30)","(57, 77, 31, 93, 64, 9, 4, 15, 63, 40, 53, 89, 80, 49, 34, 63, 91, 43, 95, 96)",869,869,False,0.0
80,independent,20,196,"(18, 35, 27, 24, 26, 2, 49, 15, 4, 16, 34, 1, 29, 9, 15, 23, 12, 14, 17, 21)","(51, 91, 48, 69, 48, 71, 50, 80, 50, 22, 73, 19, 80, 21, 48, 76, 81, 35, 11, 13)",751,751,False,0.0
81,independent,20,244,"(33, 22, 35, 31, 11, 29, 49, 1, 19, 23, 20, 9, 5, 33, 20, 36, 50, 22, 25, 15)","(59, 72, 50, 3, 20, 87, 78, 41, 93, 29, 88, 78, 28, 97, 75, 24, 92, 24, 99, 84)",921,921,False,0.0
82,independent,20,222,"(10, 32, 19, 11, 17, 49, 28, 38, 13, 36, 8, 6, 21, 50, 6, 12, 16, 46, 2, 24)","(99, 65, 23, 88, 21, 5, 61, 13, 40, 18, 62, 81, 45, 63, 63, 1, 46, 39, 69, 72)",835,835,False,0.0
83,independent,20,232,"(32, 6, 25, 4, 14, 12, 6, 27, 23, 36, 31, 46, 29, 3, 2, 30, 25, 47, 36, 31)","(59, 17, 5, 84, 25, 40, 7, 20, 39, 26, 81, 30, 22, 4, 97, 45, 74, 24, 41, 59)",631,636,True,0.007861635220125786
84,independent,20,300,"(47, 50, 32, 34, 21, 30, 36, 48, 39, 35, 46, 34, 26, 22, 15, 43, 3, 3, 3, 34)","(37, 5, 1, 85, 26, 64, 97, 47, 20, 97, 34, 60, 93, 78, 17, 61, 66, 20, 64, 88)",855,855,False,0.0
85,independent,20,314,"(13, 40, 21, 15, 50, 23, 15, 25, 35, 50, 38, 37, 39, 8, 44, 5, 31, 44, 50, 44)","(90, 14, 25, 60, 99, 75, 88, 69, 29, 88, 77, 60, 56, 1, 72, 56, 80, 58, 62, 29)",854,854,False,0.0
86,independent,20,302,"(50, 36, 48, 50, 46, 48, 20, 25, 33, 27, 1, 50, 14, 24, 12, 19, 31, 6, 31, 32)","(4, 41, 2, 9, 65, 81, 93, 14, 13, 59, 75, 98, 27, 8, 51, 11, 51, 38, 18, 48)",686,686,False,0.0
87,independent,20,276,"(10, 13, 7, 49, 42, 46, 46, 24, 18, 49, 32, 40, 5, 44, 17, 45, 6, 2, 18, 39)","(95, 70, 36, 43, 70, 42, 16, 2, 50, 12, 66, 90, 98, 26, 24, 72, 40, 90, 54, 93)",878,898,True,0.022271714922048998
88,independent,20,251,"(26, 22, 41, 34, 45, 22, 30, 15, 45, 39, 29, 21, 28, 20, 8, 22, 10, 29, 15, 1)","(25, 24, 2, 99, 2, 88, 18, 16, 18, 23, 53, 86, 18, 21, 60, 8, 32, 26, 23, 31)",576,576,False,0.0
89,independent,20,197,"(6, 39, 17, 23, 10, 22, 20, 44, 5, 11, 40, 15, 38, 4, 21, 6, 27, 6, 18, 22)","(99, 91, 18, 9, 54, 27, 89, 43, 74, 60, 1, 19, 60, 72, 94, 10, 61, 52, 95, 18)",870,878,True,0.009111617312072893
90,independent,20,270,"(14, 6, 43, 38, 41, 29, 20, 32, 24, 35, 10, 44, 25, 30, 9, 50, 12, 44, 2, 33)","(92, 62, 74, 40, 46, 74, 34, 35, 10, 94, 6, 82, 48, 14, 70, 68, 7, 10, 16, 37)",692,692,False,0.0
91,independent,20,252,"(6, 12, 44, 26, 48, 30, 17, 13, 24, 14, 25, 6, 6, 29, 35, 20, 36, 25, 42, 45)","(76, 88, 21, 59, 57, 59, 32, 78, 63, 28, 97, 99, 88, 90, 83, 50, 45, 94, 99, 71)",1005,1014,True,0.008875739644970414
92,independent,20,276,"(27, 37, 36, 18, 49, 37, 31, 5, 43, 22, 3, 42, 11, 11, 40, 47, 31, 44, 11, 8)","(67, 71, 76, 87, 13, 67, 21, 74, 81, 8, 4, 82, 75, 78, 21, 53, 96, 100, 92, 87)",926,970,True,0.04536082474226804
93,independent,20,292,"(32, 47, 8, 23, 12, 8, 38, 40, 8, 40, 26, 42, 50, 14, 15, 31, 38, 39, 22, 50)","(73, 46, 12, 19, 51, 21, 5, 71, 87, 48, 16, 10, 84, 97, 84, 21, 38, 38, 28, 61)",688,705,True,0.024113475177304965
94,independent,20,250,"(35, 8, 20, 2, 32, 20, 39, 35, 28, 48, 23, 23, 43, 3, 30, 11, 9, 43, 31, 18)","(24, 36, 56, 88, 48, 55, 36, 3, 2, 56, 59, 28, 93, 53, 83, 34, 12, 39, 89, 10)",716,722,True,0.008310249307479225
95,independent,20,314,"(49, 33, 35, 32, 9, 39, 41, 13, 37, 34, 13, 42, 24, 48, 24, 12, 26, 40, 39, 39)","(69, 95, 17, 4, 2, 11, 36, 6, 93, 78, 81, 14, 36, 50, 20, 24, 44, 23, 51, 33)",607,607,False,0.0
