seed,family,number_of_items,capacity,weights,values,greedy_value,optimal_value,failure,relative_gap
10,strongly_correlated,20,234,"(37, 3, 28, 31, 37, 1, 14, 30, 32, 18, 42, 11, 3, 34, 32, 21, 5, 16, 48, 24)","(47, 13, 38, 41, 47, 11, 24, 40, 42, 28, 52, 21, 13, 44, 42, 31, 15, 26, 58, 34)",335,364,True,0.07967032967032966
11,strongly_correlated,20,267,"(29, 36, 50, 30, 29, 33, 38, 13, 12, 33, 31, 41, 40, 12, 7, 29, 20, 10, 6, 35)","(39, 46, 60, 40, 39, 43, 48, 23, 22, 43, 41, 51, 50, 22, 17, 39, 30, 20, 16, 45)",391,397,True,0.015113350125944584
12,strongly_correlated,20,276,"(31, 18, 43, 34, 43, 23, 10, 25, 1, 24, 31, 18, 42, 30, 45, 39, 15, 36, 1, 43)","(41, 28, 53, 44, 53, 33, 20, 35, 11, 34, 41, 28, 52, 40, 55, 49, 25, 46, 11, 53)",391,406,True,0.03694581280788178
13,strongly_correlated,20,247,"(17, 19, 44, 44, 12, 42, 15, 43, 10, 15, 42, 47, 12, 9, 5, 35, 14, 48, 19, 2)","(27, 29, 54, 54, 22, 52, 25, 53, 20, 25, 52, 57, 22, 19, 15, 45, 24, 58, 29, 12)",366,384,True,0.046875
14,strongly_correlated,20,302,"(7, 40, 45, 49, 42, 34, 16, 18, 48, 17, 19, 47, 5, 43, 29, 20, 30, 44, 26, 26)","(17, 50, 55, 59, 52, 44, 26, 28, 58, 27, 29, 57, 15, 53, 39, 30, 40, 54, 36, 36)",417,432,True,0.034722222222222224
15,strongly_correlated,20,210,"(14, 1, 34, 48, 3, 11, 16, 2, 4, 44, 10, 45, 24, 16, 8, 22, 30, 46, 23, 18)","(24, 11, 44, 58, 13, 21, 26, 12, 14, 54, 20, 55, 34, 26, 18, 32, 40, 56, 33, 28)",352,356,True,0.011235955056179775
16,strongly_correlated,20,244,"(24, 31, 31, 19, 27, 15, 29, 1, 27, 43, 46, 17, 16, 41, 15, 1, 19, 20, 22, 43)","(34, 41, 41, 29, 37, 25, 39, 11, 37, 53, 56, 27, 26, 51, 25, 11, 29, 30, 32, 53)",353,374,True,0.05614973262032086
17,strongly_correlated,20,275,"(34, 27, 20, 24, 19, 12, 50, 46, 46, 35, 43, 18, 8, 2, 16, 25, 48, 27, 17, 33)","(44, 37, 30, 34, 29, 22, 60, 56, 56, 45, 53, 28, 18, 12, 26, 35, 58, 37, 27, 43)",378,405,True,0.06666666666666667
18,strongly_correlated,20,230,"(12, 8, 43, 29, 22, 16, 13, 32, 41, 32, 12, 31, 19, 30, 17, 13, 17, 45, 8, 21)","(22, 18, 53, 39, 32, 26, 23, 42, 51, 42, 22, 41, 29, 40, 27, 23, 27, 55, 18, 31)",337,360,True,0.06388888888888888
19,strongly_correlated,20,219,"(44, 3, 34, 8, 33, 13, 26, 23, 34, 19, 38, 10, 39, 17, 7, 17, 27, 21, 18, 7)","(54, 13, 44, 18, 43, 23, 36, 33, 44, 29, 48, 20, 49, 27, 17, 27, 37, 31, 28, 17)",356,356,False,0.0
20,strongly_correlated,20,248,"(47, 44, 50, 10, 17, 44, 41, 7, 21, 37, 11, 2, 27, 27, 5, 7, 9, 21, 31, 38)","(57, 54, 60, 20, 27, 54, 51, 17, 31, 47, 21, 12, 37, 37, 15, 17, 19, 31, 41, 48)",372,388,True,0.041237113402061855
21,strongly_correlated,20,236,"(11, 27, 45, 27, 41, 19, 31, 14, 31, 33, 12, 33, 34, 16, 1, 1, 24, 38, 28, 5)","(21, 37, 55, 37, 51, 29, 41, 24, 41, 43, 22, 43, 44, 26, 11, 11, 34, 48, 38, 15)",346,366,True,0.0546448087431694
22,strongly_correlated,20,234,"(9, 16, 2, 40, 29, 12, 45, 8, 48, 42, 23, 6, 15, 18, 4, 21, 39, 12, 36, 44)","(19, 26, 12, 50, 39, 22, 55, 18, 58, 52, 33, 16, 25, 28, 14, 31, 49, 22, 46, 54)",351,374,True,0.06149732620320856
23,strongly_correlated,20,224,"(50, 19, 6, 2, 38, 20, 28, 25, 34, 23, 9, 47, 13, 18, 29, 1, 15, 40, 30, 2)","(60, 29, 16, 12, 48, 30, 38, 35, 44, 33, 19, 57, 23, 28, 39, 11, 25, 50, 40, 12)",350,364,True,0.038461538461538464
24,strongly_correlated,20,280,"(46, 25, 38, 12, 14, 11, 13, 11, 43, 44, 6, 46, 49, 10, 46, 19, 47, 50, 1, 29)","(56, 35, 48, 22, 24, 21, 23, 21, 53, 54, 16, 56, 59, 20, 56, 29, 57, 60, 11, 39)",416,420,True,0.009523809523809525
25,strongly_correlated,20,260,"(25, 50, 1, 14, 20, 41, 31, 3, 49, 17, 3, 20, 37, 28, 7, 38, 8, 37, 44, 47)","(35, 60, 11, 24, 30, 51, 41, 13, 59, 27, 13, 30, 47, 38, 17, 48, 18, 47, 54, 57)",391,399,True,0.020050125313283207
26,strongly_correlated,20,305,"(48, 13, 43, 14, 28, 39, 35, 4, 9, 50, 49, 31, 3, 47, 44, 40, 33, 11, 41, 28)","(58, 23, 53, 24, 38, 49, 45, 14, 19, 60, 59, 41, 13, 57, 54, 50, 43, 21, 51, 38)",418,435,True,0.03908045977011494
27,strongly_correlated,20,224,"(42, 31, 45, 18, 19, 13, 5, 5, 17, 35, 22, 17, 24, 26, 12, 16, 16, 32, 5, 47)","(52, 41, 55, 28, 29, 23, 15, 15, 27, 45, 32, 27, 34, 36, 22, 26, 26, 42, 15, 57)",355,364,True,0.024725274725274724
28,strongly_correlated,20,246,"(8, 48, 9, 35, 39, 46, 12, 15, 9, 41, 30, 49, 27, 14, 14, 10, 26, 11, 9, 39)","(18, 58, 19, 45, 49, 56, 22, 25, 19, 51, 40, 59, 37, 24, 24, 20, 36, 21, 19, 49)",369,386,True,0.04404145077720207
29,strongly_correlated,20,218,"(36, 5, 23, 39, 39, 19, 6, 33, 23, 26, 27, 2, 3, 7, 29, 42, 15, 23, 6, 32)","(46, 15, 33, 49, 49, 29, 16, 43, 33, 36, 37, 12, 13, 17, 39, 52, 25, 33, 16, 42)",354,358,True,0.0111731843575419
30,strongly_correlated,20,204,"(35, 19, 40, 2, 40, 42, 14, 17, 4, 26, 25, 42, 9, 6, 30, 1, 34, 16, 2, 5)","(45, 29, 50, 12, 50, 52, 24, 27, 14, 36, 35, 52, 19, 16, 40, 11, 44, 26, 12, 15)",316,344,True,0.08139534883720931
31,strongly_correlated,20,226,"(1, 31, 8, 49, 26, 10, 44, 3, 9, 8, 35, 15, 46, 49, 9, 10, 48, 3, 43, 4)","(11, 41, 18, 59, 36, 20, 54, 13, 19, 18, 45, 25, 56, 59, 19, 20, 58, 13, 53, 14)",365,376,True,0.02925531914893617
32,strongly_correlated,20,227,"(5, 14, 10, 20, 45, 16, 32, 2, 47, 3, 7, 21, 33, 22, 4, 34, 45, 31, 24, 39)","(15, 24, 20, 30, 55, 26, 42, 12, 57, 13, 17, 31, 43, 32, 14, 44, 55, 41, 34, 49)",351,367,True,0.043596730245231606
33,strongly_correlated,20,306,"(37, 11, 41, 15, 18, 31, 42, 35, 34, 12, 42, 40, 33, 21, 44, 34, 31, 29, 19, 44)","(47, 21, 51, 25, 28, 41, 52, 45, 44, 22, 52, 50, 43, 31, 54, 44, 41, 39, 29, 54)",408,426,True,0.04225352112676056
34,strongly_correlated,20,207,"(34, 23, 38, 2, 15, 2, 25, 24, 5, 28, 20, 22, 7, 38, 33, 10, 7, 18, 23, 40)","(44, 33, 48, 12, 25, 12, 35, 34, 15, 38, 30, 32, 17, 48, 43, 20, 17, 28, 33, 50)",343,347,True,0.011527377521613832
35,strongly_correlated,20,300,"(36, 22, 49, 9, 48, 22, 10, 19, 28, 17, 37, 4, 48, 34, 49, 18, 42, 24, 46, 38)","(46, 32, 59, 19, 58, 32, 20, 29, 38, 27, 47, 14, 58, 44, 59, 28, 52, 34, 56, 48)",410,430,True,0.046511627906976744
36,strongly_correlated,20,223,"(22, 4, 2, 19, 6, 1, 33, 41, 12, 16, 18, 47, 42, 28, 24, 36, 18, 35, 5, 37)","(32, 14, 12, 29, 16, 11, 43, 51, 22, 26, 28, 57, 52, 38, 34, 46, 28, 45, 15, 47)",348,363,True,0.04132231404958678
37,strongly_correlated,20,318,"(44, 39, 6, 40, 43, 48, 41, 33, 3, 41, 24, 29, 34, 7, 44, 30, 39, 19, 25, 48)","(54, 49, 16, 50, 53, 58, 51, 43, 13, 51, 34, 39, 44, 17, 54, 40, 49, 29, 35, 58)",408,438,True,0.0684931506849315
38,strongly_correlated,20,284,"(41, 27, 28, 49, 47, 7, 5, 24, 45, 30, 24, 3, 39, 43, 11, 38, 23, 21, 18, 46)","(51, 37, 38, 59, 57, 17, 15, 34, 55, 40, 34, 13, 49, 53, 21, 48, 33, 31, 28, 56)",389,414,True,0.06038647342995169
39,strongly_correlated,20,226,"(14, 17, 25, 2, 13, 15, 26, 47, 37, 1, 42, 17, 44, 23, 46, 12, 2, 19, 44, 5)","(24, 27, 35, 12, 23, 25, 36, 57, 47, 11, 52, 27, 54, 33, 56, 22, 12, 29, 54, 15)",331,366,True,0.09562841530054644
40,strongly_correlated,20,275,"(30, 38, 34, 3, 16, 19, 43, 41, 43, 14, 9, 49, 23, 18, 48, 29, 2, 34, 48, 9)","(40, 48, 44, 13, 26, 29, 53, 51, 53, 24, 19, 59, 33, 28, 58, 39, 12, 44, 58, 19)",370,405,True,0.08641975308641975
41,strongly_correlated,20,276,"(25, 22, 15, 11, 25, 37, 45, 19, 36, 18, 25, 47, 49, 37, 1, 50, 16, 43, 2, 29)","(35, 32, 25, 21, 35, 47, 55, 29, 46, 28, 35, 57, 59, 47, 11, 60, 26, 53, 12, 39)",374,406,True,0.07881773399014778
42,strongly_correlated,20,218,"(41, 8, 2, 48, 18, 16, 15, 9, 48, 7, 44, 48, 35, 6, 38, 28, 3, 2, 6, 14)","(51, 18, 12, 58, 28, 26, 25, 19, 58, 17, 54, 58, 45, 16, 48, 38, 13, 12, 16, 24)",357,367,True,0.027247956403269755
43,strongly_correlated,20,290,"(3, 19, 45, 49, 10, 30, 24, 43, 45, 7, 30, 39, 32, 39, 2, 33, 28, 37, 24, 40)","(13, 29, 55, 59, 20, 40, 34, 53, 55, 17, 40, 49, 42, 49, 12, 43, 38, 47, 34, 50)",409,420,True,0.02619047619047619
44,strongly_correlated,20,224,"(27, 34, 35, 45, 8, 12, 25, 15, 19, 2, 15, 8, 37, 1, 7, 11, 50, 33, 45, 20)","(37, 44, 45, 55, 18, 22, 35, 25, 29, 12, 25, 18, 47, 11, 17, 21, 60, 43, 55, 30)",343,364,True,0.057692307692307696
45,strongly_correlated,20,187,"(18, 27, 32, 17, 6, 20, 22, 2, 5, 31, 1, 8, 19, 8, 20, 48, 42, 3, 40, 5)","(28, 37, 42, 27, 16, 30, 32, 12, 15, 41, 11, 18, 29, 18, 30, 58, 52, 13, 50, 15)",331,336,True,0.01488095238095238
46,strongly_correlated,20,203,"(5, 26, 3, 38, 38, 15, 41, 34, 10, 38, 35, 3, 2, 5, 21, 41, 4, 2, 9, 36)","(15, 36, 13, 48, 48, 25, 51, 44, 20, 48, 45, 13, 12, 15, 31, 51, 14, 12, 19, 46)",314,343,True,0.08454810495626822
47,strongly_correlated,20,226,"(23, 5, 28, 36, 30, 37, 22, 17, 33, 25, 26, 40, 3, 27, 43, 2, 7, 1, 17, 31)","(33, 15, 38, 46, 40, 47, 32, 27, 43, 35, 36, 50, 13, 37, 53, 12, 17, 11, 27, 41)",333,356,True,0.06460674157303371
48,strongly_correlated,20,273,"(36, 21, 9, 36, 46, 35, 20, 33, 13, 46, 49, 28, 11, 10, 43, 7, 32, 42, 15, 14)","(46, 31, 19, 46, 56, 45, 30, 43, 23, 56, 59, 38, 21, 20, 53, 17, 42, 52, 25, 24)",378,403,True,0.062034739454094295
49,strongly_correlated,20,267,"(5, 23, 27, 8, 21, 49, 36, 33, 4, 44, 3, 49, 48, 18, 10, 30, 47, 3, 41, 35)","(15, 33, 37, 18, 31, 59, 46, 43, 14, 54, 13, 59, 58, 28, 20, 40, 57, 13, 51, 45)",396,407,True,0.02702702702702703
50,strongly_correlated,20,252,"(32, 18, 24, 41, 16, 45, 31, 50, 22, 6, 35, 21, 15, 44, 36, 6, 10, 23, 7, 23)","(42, 28, 34, 51, 26, 55, 41, 60, 32, 16, 45, 31, 25, 54, 46, 16, 20, 33, 17, 33)",352,382,True,0.07853403141361257
51,strongly_correlated,20,301,"(16, 33, 36, 11, 16, 15, 36, 17, 26, 36, 30, 47, 45, 36, 34, 41, 22, 38, 43, 24)","(26, 43, 46, 21, 26, 25, 46, 27, 36, 46, 40, 57, 55, 46, 44, 51, 32, 48, 53, 34)",400,421,True,0.0498812351543943
52,strongly_correlated,20,216,"(18, 4, 47, 33, 31, 24, 27, 3, 9, 11, 27, 12, 23, 29, 41, 1, 3, 35, 25, 29)","(28, 14, 57, 43, 41, 34, 37, 13, 19, 21, 37, 22, 33, 39, 51, 11, 13, 45, 35, 39)",356,356,False,0.0
53,strongly_correlated,20,292,"(40, 14, 30, 33, 46, 31, 46, 34, 24, 47, 30, 47, 2, 3, 11, 23, 48, 9, 17, 48)","(50, 24, 40, 43, 56, 41, 56, 44, 34, 57, 40, 57, 12, 13, 21, 33, 58, 19, 27, 58)",391,422,True,0.07345971563981042
54,strongly_correlated,20,266,"(9, 29, 36, 20, 31, 32, 25, 15, 29, 22, 37, 47, 25, 14, 47, 13, 4, 32, 36, 29)","(19, 39, 46, 30, 41, 42, 35, 25, 39, 32, 47, 57, 35, 24, 57, 23, 14, 42, 46, 39)",395,396,True,0.0025252525252525255
55,strongly_correlated,20,249,"(6, 13, 10, 48, 20, 6, 48, 12, 20, 6, 23, 47, 43, 31, 35, 25, 25, 33, 26, 21)","(16, 23, 20, 58, 30, 16, 58, 22, 30, 16, 33, 57, 53, 41, 45, 35, 35, 43, 36, 31)",384,388,True,0.010309278350515464
56,strongly_correlated,20,272,"(36, 1, 31, 42, 34, 20, 50, 35, 27, 46, 15, 7, 24, 40, 5, 22, 42, 17, 37, 14)","(46, 11, 41, 52, 44, 30, 60, 45, 37, 56, 25, 17, 34, 50, 15, 32, 52, 27, 47, 24)",382,402,True,0.04975124378109453
57,strongly_correlated,20,251,"(3, 24, 38, 39, 2, 15, 33, 21, 31, 19, 28, 41, 25, 2, 48, 11, 34, 39, 24, 25)","(13, 34, 48, 49, 12, 25, 43, 31, 41, 29, 38, 51, 35, 12, 58, 21, 44, 49, 34, 35)",360,381,True,0.05511811023622047
58,strongly_correlated,20,230,"(38, 13, 14, 48, 42, 13, 3, 13, 29, 26, 23, 19, 17, 29, 40, 27, 19, 38, 7, 1)","(48, 23, 24, 58, 52, 23, 13, 23, 39, 36, 33, 29, 27, 39, 50, 37, 29, 48, 17, 11)",364,370,True,0.016216216216216217
59,strongly_correlated,20,254,"(15, 6, 42, 30, 2, 9, 20, 46, 2, 44, 40, 1, 32, 25, 32, 35, 20, 49, 11, 47)","(25, 16, 52, 40, 12, 19, 30, 56, 12, 54, 50, 11, 42, 35, 42, 45, 30, 59, 21, 57)",380,394,True,0.03553299492385787
60,strongly_correlated,20,194,"(20, 19, 37, 10, 17, 15, 31, 30, 22, 3, 6, 43, 12, 10, 25, 3, 16, 41, 1, 27)","(30, 29, 47, 20, 27, 25, 41, 40, 32, 13, 16, 53, 22, 20, 35, 13, 26, 51, 11, 37)",319,334,True,0.04491017964071856
61,strongly_correlated,20,219,"(32, 12, 36, 14, 21, 19, 21, 45, 2, 32, 23, 23, 5, 26, 30, 22, 11, 22, 41, 1)","(42, 22, 46, 24, 31, 29, 31, 55, 12, 42, 33, 33, 15, 36, 40, 32, 21, 32, 51, 11)",326,349,True,0.0659025787965616
62,strongly_correlated,20,198,"(37, 12, 5, 16, 30, 20, 43, 23, 11, 33, 12, 11, 1, 17, 41, 11, 8, 2, 31, 31)","(47, 22, 15, 26, 40, 30, 53, 33, 21, 43, 22, 21, 11, 27, 51, 21, 18, 12, 41, 41)",319,338,True,0.05621301775147929
63,strongly_correlated,20,246,"(29, 29, 19, 17, 31, 43, 6, 25, 48, 6, 5, 43, 13, 19, 5, 41, 20, 48, 40, 4)","(39, 39, 29, 27, 41, 53, 16, 35, 58, 16, 15, 53, 23, 29, 15, 51, 30, 58, 50, 14)",368,386,True,0.046632124352331605
64,strongly_correlated,20,294,"(31, 8, 41, 40, 26, 35, 44, 2, 14, 18, 46, 41, 49, 13, 45, 50, 42, 10, 6, 27)","(41, 18, 51, 50, 36, 45, 54, 12, 24, 28, 56, 51, 59, 23, 55, 60, 52, 20, 16, 37)",401,424,True,0.054245283018867926
65,strongly_correlated,20,260,"(27, 19, 19, 33, 15, 29, 30, 34, 29, 36, 22, 41, 28, 15, 5, 36, 30, 17, 13, 42)","(37, 29, 29, 43, 25, 39, 40, 44, 39, 46, 32, 51, 38, 25, 15, 46, 40, 27, 23, 52)",358,380,True,0.05789473684210526
66,strongly_correlated,20,255,"(5, 20, 28, 16, 29, 19, 17, 36, 7, 48, 32, 12, 30, 34, 9, 46, 5, 46, 24, 47)","(15, 30, 38, 26, 39, 29, 27, 46, 17, 58, 42, 22, 40, 44, 19, 56, 15, 56, 34, 57)",393,395,True,0.005063291139240506
67,strongly_correlated,20,234,"(5, 8, 50, 27, 30, 27, 18, 39, 28, 32, 40, 18, 14, 42, 3, 43, 12, 19, 3, 11)","(15, 18, 60, 37, 40, 37, 28, 49, 38, 42, 50, 28, 24, 52, 13, 53, 22, 29, 13, 21)",363,374,True,0.029411764705882353
68,strongly_correlated,20,315,"(48, 30, 45, 48, 33, 8, 39, 38, 16, 28, 31, 17, 47, 44, 22, 29, 36, 24, 11, 36)","(58, 40, 55, 58, 43, 18, 49, 48, 26, 38, 41, 27, 57, 54, 32, 39, 46, 34, 21, 46)",405,435,True,0.06896551724137931
69,strongly_correlated,20,253,"(44, 3, 7, 11, 5, 39, 23, 21, 36, 27, 30, 28, 37, 29, 34, 21, 36, 36, 29, 10)","(54, 13, 17, 21, 15, 49, 33, 31, 46, 37, 40, 38, 47, 39, 44, 31, 46, 46, 39, 20)",374,383,True,0.02349869451697128
70,strongly_correlated,20,272,"(8, 19, 45, 30, 29, 9, 21, 7, 10, 44, 44, 39, 14, 46, 43, 27, 25, 16, 26, 42)","(18, 29, 55, 40, 39, 19, 31, 17, 20, 54, 54, 49, 24, 56, 53, 37, 35, 26, 36, 52)",371,402,True,0.07711442786069651
71,strongly_correlated,20,224,"(21, 33, 40, 1, 17, 10, 49, 13, 17, 6, 13, 33, 4, 39, 13, 33, 2, 45, 34, 24)","(31, 43, 50, 11, 27, 20, 59, 23, 27, 16, 23, 43, 14, 49, 23, 43, 12, 55, 44, 34)",347,364,True,0.046703296703296704
72,strongly_correlated,20,314,"(5, 39, 48, 12, 23, 45, 35, 40, 24, 20, 48, 46, 44, 39, 9, 45, 45, 22, 15, 25)","(15, 49, 58, 22, 33, 55, 45, 50, 34, 30, 58, 56, 54, 49, 19, 55, 55, 32, 25, 35)",438,444,True,0.013513513513513514
73,strongly_correlated,20,226,"(18, 8, 33, 31, 37, 12, 30, 20, 38, 5, 32, 26, 34, 33, 13, 29, 8, 2, 17, 27)","(28, 18, 43, 41, 47, 22, 40, 30, 48, 15, 42, 36, 44, 43, 23, 39, 18, 12, 27, 37)",345,356,True,0.03089887640449438
74,strongly_correlated,20,225,"(40, 33, 8, 21, 8, 20, 12, 14, 23, 8, 29, 30, 34, 18, 29, 11, 21, 18, 33, 40)","(50, 43, 18, 31, 18, 30, 22, 24, 33, 18, 39, 40, 44, 28, 39, 21, 31, 28, 43, 50)",341,355,True,0.03943661971830986
75,strongly_correlated,20,330,"(29, 38, 28, 30, 3, 47, 50, 33, 44, 43, 31, 44, 44, 45, 23, 7, 45, 21, 6, 49)","(39, 48, 38, 40, 13, 57, 60, 43, 54, 53, 41, 54, 54, 55, 33, 17, 55, 31, 16, 59)",412,450,True,0.08444444444444445
76,strongly_correlated,20,222,"(24, 30, 25, 13, 20, 4, 27, 16, 19, 20, 49, 29, 32, 15, 6, 22, 20, 15, 22, 35)","(34, 40, 35, 23, 30, 14, 37, 26, 29, 30, 59, 39, 42, 25, 16, 32, 30, 25, 32, 45)",346,352,True,0.017045454545454544
77,strongly_correlated,20,223,"(17, 21, 13, 16, 13, 8, 19, 31, 36, 40, 16, 10, 36, 41, 43, 33, 1, 18, 2, 32)","(27, 31, 23, 26, 23, 18, 29, 41, 46, 50, 26, 20, 46, 51, 53, 43, 11, 28, 12, 42)",357,363,True,0.01652892561983471
78,strongly_correlated,20,294,"(13, 7, 20, 43, 47, 17, 48, 28, 3, 42, 10, 42, 26, 50, 43, 13, 45, 31, 25, 35)","(23, 17, 30, 53, 57, 27, 58, 38, 13, 52, 20, 52, 36, 60, 53, 23, 55, 41, 35, 45)",400,424,True,0.05660377358490566
79,strongly_correlated,20,237,"(10, 29, 23, 39, 11, 16, 16, 47, 45, 32, 10, 5, 23, 2, 13, 8, 47, 32, 46, 20)","(20, 39, 33, 49, 21, 26, 26, 57, 55, 42, 20, 15, 33, 12, 23, 18, 57, 42, 56, 30)",358,377,True,0.050397877984084884
80,strongly_correlated,20,254,"(18, 26, 35, 46, 27, 24, 24, 35, 26, 24, 2, 36, 49, 25, 15, 40, 4, 25, 16, 11)","(28, 36, 45, 56, 37, 34, 34, 45, 36, 34, 12, 46, 59, 35, 25, 50, 14, 35, 26, 21)",370,384,True,0.036458333333333336
81,strongly_correlated,20,261,"(33, 30, 22, 36, 35, 25, 31, 2, 11, 10, 29, 44, 49, 39, 1, 21, 19, 47, 23, 15)","(43, 40, 32, 46, 45, 35, 41, 12, 21, 20, 39, 54, 59, 49, 11, 31, 29, 57, 33, 25)",369,391,True,0.056265984654731455
82,strongly_correlated,20,236,"(10, 50, 32, 33, 19, 12, 11, 44, 17, 11, 49, 3, 28, 31, 38, 7, 13, 20, 36, 9)","(20, 60, 42, 43, 29, 22, 21, 54, 27, 21, 59, 13, 38, 41, 48, 17, 23, 30, 46, 19)",363,376,True,0.034574468085106384
83,strongly_correlated,20,174,"(32, 30, 6, 9, 25, 3, 4, 42, 14, 13, 12, 20, 6, 4, 27, 10, 23, 20, 36, 13)","(42, 40, 16, 19, 35, 13, 14, 52, 24, 23, 22, 30, 16, 14, 37, 20, 33, 30, 46, 23)",297,314,True,0.054140127388535034
84,strongly_correlated,20,308,"(47, 19, 50, 3, 32, 1, 34, 43, 21, 13, 30, 32, 36, 49, 48, 24, 39, 10, 35, 49)","(57, 29, 60, 13, 42, 11, 44, 53, 31, 23, 40, 42, 46, 59, 58, 34, 49, 20, 45, 59)",420,438,True,0.0410958904109589
85,strongly_correlated,20,304,"(13, 45, 40, 7, 21, 13, 15, 30, 50, 50, 23, 38, 15, 44, 25, 35, 35, 15, 50, 44)","(23, 55, 50, 17, 31, 23, 25, 40, 60, 60, 33, 48, 25, 54, 35, 45, 45, 25, 60, 54)",415,434,True,0.04377880184331797
86,strongly_correlated,20,288,"(50, 2, 36, 21, 48, 1, 50, 5, 46, 33, 48, 41, 20, 47, 25, 7, 33, 7, 27, 30)","(60, 12, 46, 31, 58, 11, 60, 15, 56, 43, 58, 51, 30, 57, 35, 17, 43, 17, 37, 40)",428,428,False,0.0
87,strongly_correlated,20,262,"(10, 48, 13, 35, 7, 18, 49, 22, 42, 35, 46, 21, 46, 8, 24, 1, 18, 25, 49, 6)","(20, 58, 23, 45, 17, 28, 59, 32, 52, 45, 56, 31, 56, 18, 34, 11, 28, 35, 59, 16)",383,401,True,0.04488778054862843
88,strongly_correlated,20,239,"(26, 13, 22, 12, 41, 1, 34, 50, 45, 1, 22, 44, 30, 9, 15, 8, 45, 9, 39, 12)","(36, 23, 32, 22, 51, 11, 44, 60, 55, 11, 32, 54, 40, 19, 25, 18, 55, 19, 49, 22)",354,379,True,0.06596306068601583
89,strongly_correlated,20,241,"(6, 50, 39, 46, 17, 9, 23, 5, 10, 27, 22, 14, 20, 45, 44, 22, 5, 37, 11, 30)","(16, 60, 49, 56, 27, 19, 33, 15, 20, 37, 32, 24, 30, 55, 54, 32, 15, 47, 21, 40)",361,381,True,0.05249343832020997
90,strongly_correlated,20,282,"(14, 46, 6, 31, 43, 37, 38, 20, 41, 23, 29, 37, 20, 17, 32, 18, 24, 5, 35, 47)","(24, 56, 16, 41, 53, 47, 48, 30, 51, 33, 39, 47, 30, 27, 42, 28, 34, 15, 45, 57)",404,412,True,0.019417475728155338
